date,price
01/05/2013,139
01/06/2013,128.81
01/07/2013,97.51
01/08/2013,106.21
01/09/2013,135.14
01/10/2013,132.68
01/11/2013,203.9
01/12/2013,1128.92
01/01/2014,754.97
01/02/2014,828.61
01/03/2014,549.92
01/04/2014,457
01/05/2014,447.63
01/06/2014,623.69
01/07/2014,641.39
01/08/2014,586.2
01/09/2014,477.79
01/10/2014,387.43
01/11/2014,338.65
01/12/2014,378.25
01/01/2015,320.44
01/02/2015,216.87
01/03/2015,254.28
01/04/2015,244.22
01/05/2015,235.94
01/06/2015,230.23
01/07/2015,263.35
01/08/2015,284.69
01/09/2015,230.26
01/10/2015,236
01/11/2015,315
01/12/2015,377.41
01/01/2016,430.72
01/02/2016,369.35
01/03/2016,437.92
01/04/2016,416.76
01/05/2016,448.48
01/06/2016,531.11
01/07/2016,672.51
01/08/2016,624.6
01/09/2016,575.55
01/10/2016,609.93
01/11/2016,701.34
01/12/2016,746.05
01/01/2017,963.66
01/02/2017,970.94
01/03/2017,1180.04
01/04/2017,1071.71
01/05/2017,1348.3
01/06/2017,2288.33
01/07/2017,2492.6
01/08/2017,2871.3
01/09/2017,4701.76
01/10/2017,4341.05
01/11/2017,6440.97
