date,price
01/05/2013,4.29
01/06/2013,2.94
01/07/2013,3.01
01/08/2013,2.87
01/09/2013,2.59
01/10/2013,2.34
01/11/2013,2.34
01/12/2013,40.57
01/01/2014,24.35
01/02/2014,22.1
01/03/2014,13.23
01/04/2014,12.77
01/05/2014,10.93
01/06/2014,10.93
01/07/2014,8.96
01/08/2014,7.54
01/09/2014,4.86
01/10/2014,4.47
01/11/2014,3.76
01/12/2014,3.58
01/01/2015,2.72
01/02/2015,1.88
01/03/2015,1.85
01/04/2015,1.65
01/05/2015,1.44
01/06/2015,1.64
01/07/2015,4.09
01/08/2015,4.64
01/09/2015,2.85
01/10/2015,3.01
01/11/2015,3.82
01/12/2015,3.63
01/01/2016,3.48
01/02/2016,3.07
01/03/2016,3.45
01/04/2016,3.25
01/05/2016,3.66
01/06/2016,4.65
01/07/2016,4.19
01/08/2016,4.06
01/09/2016,3.8
01/10/2016,3.85
01/11/2016,4
01/12/2016,3.91
01/01/2017,4.33
01/02/2017,4.08
01/03/2017,3.77
01/04/2017,6.65
01/05/2017,15.71
01/06/2017,25.34
01/07/2017,40.4
01/08/2017,43.02
01/09/2017,70.86
01/10/2017,55.14
01/11/2017,55.74
